"ID","Title","URL","Date_Published"
"15-19","Personal Income and Outlays, March 2015","http://bea.gov/newsreleases/national/pi/2015/pi0315.htm","2015-04-30"
"15-18","Gross Domestic Product, 1st quarter 2015 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp1q15_adv.htm","2015-04-29"
"15-17","Gross Domestic Product by Industry, 4th quarter and annual 2014","http://bea.gov/newsreleases/industry/gdpindustry/2015/gdpind414.htm","2015-04-23"
"15-16","U.S. International Trade in Goods and Services, February 2015","http://bea.gov/newsreleases/international/trade/2015/trad0215.htm","2015-04-02"
"15-15","U.S. International Investment Position, 4th quarter 2014","http://bea.gov/newsreleases/international/intinv/2015/intinv414.htm","2015-03-31"
"15-14","Personal Income and Outlays, February 2015","http://bea.gov/newsreleases/national/pi/2015/pi0215.htm","2015-03-30"
"15-13","Gross Domestic Product, 4th quarter and annual 2014 (third estimate); Corporate Profits, 4th quarter and annual 2014","http://bea.gov/newsreleases/national/gdp/2015/gdp4q14_3rd.htm","2015-03-27"
"15-12","State Quarterly Personal Income, 1st quarter 2014 - 4th quarter 2014; State Annual Personal Income, 2014 (preliminary estimates)","http://bea.gov/newsreleases/regional/spi/2015/spi0315.htm","2015-03-25"
"15-11","U.S. International Transactions, 4th quarter and Year 2014","http://bea.gov/newsreleases/international/transactions/2015/trans414.htm","2015-03-19"
"15-10","Travel and Tourism Satellite Accounts, 4th quarter 2014","http://bea.gov/newsreleases/industry/tourism/2015/tour414.htm","2015-03-18"
"15-09","U.S. International Trade in Goods and Services, January 2015","http://bea.gov/newsreleases/international/trade/2015/trad0115.htm","2015-03-06"
"15-08","Personal Income and Outlays, January 2015","http://bea.gov/newsreleases/national/pi/2015/pi0115.htm","2015-03-02"
"15-07","Gross Domestic Product, 4th quarter and annual 2014 (second estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp4q14_2nd.htm","2015-02-27"
"15-06","U.S. International Trade in Goods and Services, December 2014","http://bea.gov/newsreleases/international/trade/2015/trad1214.htm","2015-02-05"
"15-05","Personal Income and Outlays, December 2014","http://bea.gov/newsreleases/national/pi/2015/pi1214.htm","2015-02-02"
"15-04","Gross Domestic Product, 4th quarter and annual 2014 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp4q14_adv.htm","2015-01-30"
"15-03","Gross Domestic Product by Industry, 3rd quarter, 2014","http://bea.gov/newsreleases/industry/gdpindustry/2015/gdpind314.htm","2015-01-22"
"15-02","Arts and Cultural Production Satellite Account","http://bea.gov/newsreleases/general/acpsa/acpsa0115.pdf","2015-01-12"
"15-01","U.S. International Trade in Goods and Services, November 2014","http://bea.gov/newsreleases/international/trade/2015/trad1114.htm","2015-01-07"
"14-67","U.S. International Investment Position, 3rd quarter 2014","http://bea.gov/newsreleases/international/intinv/2014/intinv314.htm","2014-12-30"
"14-66","Personal Income and Outlays, November 2014","http://bea.gov/newsreleases/national/pi/2014/pi1114.htm","2014-12-23"
"14-65","Gross Domestic Product, 3rd quarter 2014 (third estimate); Corporate Profits, 3rd quarter 2014 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp3q14_3rd.htm","2014-12-23"
"14-64","State Quarterly Personal Income, 1st quarter 2014-3rd quarter 2014","http://bea.gov/newsreleases/regional/spi/2014/spi1214.htm","2014-12-19"
"14-63","Travel and Tourism Satellite Accounts, 3rd quarter 2014","http://bea.gov/newsreleases/industry/tourism/2014/tour314.htm","2014-12-18"
"14-62","U.S. International Transactions, 3rd quarter 2014","http://bea.gov/newsreleases/international/transactions/2014/trans314.htm","2014-12-17"
"14-61","U.S. International Trade in Goods and Services, October 2014","http://bea.gov/newsreleases/international/trade/2014/trad1014.htm","2014-12-05"
"14-60","Personal Income and Outlays, October 2014","http://bea.gov/newsreleases/national/pi/2014/pi1014.htm","2014-11-26"
"14-59","Gross Domestic Product, 3rd quarter 2014 (second estimate); Corporate Profits, 3rd quarter 2014 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp3q14_2nd.htm","2014-11-25"
"14-58","Local Area Personal Income, 2011-2013","http://bea.gov/newsreleases/regional/lapi/2014/lapi1114.htm","2014-11-20"
"14-57","Gross Domestic Product for Guam, 2013","http://bea.gov/newsreleases/general/terr/2014/guamgdp_111914.pdf","2014-11-19"
"14-56","Gross Domestic Product for the Commonwealth of the Northern Mariana Islands (CNMI), 2013","http://bea.gov/newsreleases/general/terr/2014/CNMIGDP_111714.pdf","2014-11-17"
"14-55","Gross Domestic Product by Industry, 2nd quarter 2014; Revised Statistics of Gross Domestic Product by Industry for 1997 through 1st quarter 2014","http://bea.gov/newsreleases/industry/gdpindustry/2014/gdpind214.htm","2014-11-13"
"14-54","U.S. International Trade in Goods and Services, September 2014","http://bea.gov/newsreleases/international/trade/2014/trad0914.htm","2014-11-04"
"14-53","Personal Income and Outlays, September 2014","http://bea.gov/newsreleases/national/pi/2014/pi0914.htm","2014-10-31"
"14-52","Gross Domestic Product, 3rd quarter 2014 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp3q14_adv.htm","2014-10-30"
"14-51","U.S. International Trade in Goods and Services, August 2014","http://bea.gov/newsreleases/international/trade/2014/trad0814.htm","2014-10-03"
"14-50","State Quarterly Personal Income, 1st quarter 2011-2nd quarter 2014; State Annual Personal Income, 2011-2013","http://bea.gov/newsreleases/regional/spi/2014/spi0914.htm","2014-09-30"
"14-49","Personal Income and Outlays, August 2014","http://bea.gov/newsreleases/national/pi/2014/pi0814.htm","2014-09-29"
"14-48","Gross Domestic Product, 2nd quarter 2014 (third estimate); Corporate Profits, 2nd quarter 2014 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp2q14_3rd.htm","2014-09-26"
"14-47","U.S. International Investment Position, 2nd quarter 2014","http://bea.gov/newsreleases/international/intinv/2014/intinv214.htm","2014-09-25"
"14-46","Travel and Tourism Satellite Accounts, 2nd quarter 2014","http://bea.gov/newsreleases/industry/tourism/2014/tour214.htm","2014-09-18"
"14-45","U.S. International Transactions, 2nd quarter 2014","http://bea.gov/newsreleases/international/transactions/2014/trans214.htm","2014-09-17"
"14-44","Gross Domestic Product by Metropolitan Area, 2013 (advance estimate) and Revised 2001 - 2012","http://bea.gov/newsreleases/regional/gdp_metro/2014/gdp_metro0914.htm","2014-09-16"
"14-43","Gross Domestic Product for American Samoa, 2013","http://bea.gov/newsreleases/general/terr/2014/asgdp_091514.pdf","2014-09-15"
"14-42","U.S. International Trade in Goods and Services, July 2014","http://bea.gov/newsreleases/international/trade/2014/trad0714.htm","2014-09-04"
"14-41","Personal Income and Outlays, July 2014","http://bea.gov/newsreleases/national/pi/2014/pi0714.htm","2014-08-29"
"14-40","Gross Domestic Product, 2nd quarter 2014 (second estimate); Corporate Profits, 2nd quarter 2014 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp2q14_2nd.htm","2014-08-28"
"14-39","Quarterly Gross Domestic Product by State, 2005-2013 (prototype statistic) New!","http://bea.gov/newsreleases/regional/gdp_state/2014/qgsp0814.htm","2014-08-20"
"14-38","Gross Domestic Product for U.S. Virgin Islands (USVI), 2013","http://bea.gov/newsreleases/general/terr/2014/vigdp_081914.pdf","2014-08-19"
"14-37","Personal Consumption Expenditures by State, 1997-2012 (prototype statistic) New!","http://bea.gov/newsreleases/regional/pce/2014/pce0814.htm","2014-08-07"
"14-36","U.S. International Trade in Goods and Services, June 2014","http://bea.gov/newsreleases/international/trade/2014/trad0614.htm","2014-08-06"
"14-35","Personal Income and Outlays, June 2014; Revised estimates 1999 through May 2014","http://bea.gov/newsreleases/national/pi/2014/pi0614.htm","2014-08-01"
"14-34","Gross Domestic Product, 2nd quarter 2014 (advance estimate); Includes historical revisions","http://bea.gov/newsreleases/national/gdp/2014/gdp2q14_adv.htm","2014-07-30"
"14-33","Gross Domestic Product by Industry, 1st quarter 2014","http://bea.gov/newsreleases/industry/gdpindustry/2014/gdpind114.htm","2014-07-25"
"14-32","U.S. International Trade in Goods and Services, May 2014","http://bea.gov/newsreleases/international/trade/2014/trad0514.htm","2014-07-03"
"14-31","U.S. International Investment Position, 1st quarter 2014, year 2013, and annual revisions","http://bea.gov/newsreleases/international/intinv/2014/intinv114.htm","2014-06-30"
"14-30","Travel and Tourism Satellite Accounts, 1st quarter 2014","http://bea.gov/newsreleases/industry/tourism/2014/tour114.htm","2014-06-27"
"14-29","Personal Income and Outlays, May 2014","http://bea.gov/newsreleases/national/pi/2014/pi0514.htm","2014-06-26"
"14-28","Gross Domestic Product, 1st quarter 2014 (third estimate); Corporate Profits, 1st quarter 2014 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp1q14_3rd.htm","2014-06-25"
"14-27","State Quarterly Personal Income, 1st quarter 2013-1st quarter 2014","http://bea.gov/newsreleases/regional/spi/2014/spi0614.htm","2014-06-24"
"14-26","U.S. International Transactions, 1st quarter 2014 and Annual Revisions","http://bea.gov/newsreleases/international/transactions/2014/trans114.htm","2014-06-18"
"14-25","Gross Domestic Product by State, 2013 (advance estimate) and 1997-2012 (revised estimates)","http://bea.gov/newsreleases/regional/gdp_state/2014/gsp0614.htm","2014-06-11"
"14-23","U.S. International Trade in Goods and Services, April 2014","http://bea.gov/newsreleases/international/trade/2014/trad0414.htm","2014-06-04"
"14-22","Personal Income and Outlays, April 2014","http://bea.gov/newsreleases/national/pi/2014/pi0414.htm","2014-05-30"
"14-21","Gross Domestic Product, 1st quarter 2014 (second estimate); Corporate Profits, 1st quarter 2014 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp1q14_2nd.htm","2014-05-29"
"14-20","U.S. International Trade in Goods and Services, March 2014","http://bea.gov/newsreleases/international/trade/2014/trad0314.htm","2014-05-06"
"14-19","Personal Income and Outlays, March 2014","http://bea.gov/newsreleases/national/pi/2014/pi0314.htm","2014-05-01"
"14-18","Gross Domestic Product, 1st quarter 2014 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp1q14_adv.htm","2014-04-30"
"14-17","Gross Domestic Product by Industry, 4th quarter and annual 2013","http://bea.gov/newsreleases/industry/gdpindustry/2014/gdpind413.htm","2014-04-25"
"14-16","Real Personal Income for States and Metropolitan Areas, 2008-2012","http://bea.gov/newsreleases/regional/rpp/2014/rpp0414.htm","2014-04-24"
"14-15","U.S. International Trade in Goods and Services, February 2014","http://bea.gov/newsreleases/international/trade/2014/trad0214.htm","2014-04-03"
"14-14","Personal Income and Outlays, February 2014","http://bea.gov/newsreleases/national/pi/2014/pi0214.htm","2014-03-28"
"14-13","Gross Domestic Product, 4th quarter and annual 2013 (third estimate); Corporate Profits, 4th quarter and annual 2013","http://bea.gov/newsreleases/national/gdp/2014/gdp4q13_3rd.htm","2014-03-27"
"14-12","U.S. International Investment Position, 4th quarter and year 2013","http://bea.gov/newsreleases/international/intinv/2014/intinv413.htm","2014-03-26"
"14-11","State Quarterly Personal Income, 1st quarter 2013-4th quarter 2013; State Annual Personal Income, 2013 (preliminary estimates)","http://bea.gov/newsreleases/regional/spi/2014/spi0314.htm","2014-03-25"
"14-10","Travel and Tourism Satellite Accounts, 4th quarter 2013","http://bea.gov/newsreleases/industry/tourism/2014/tour413.htm","2014-03-20"
"14-09","U.S. International Transactions, 4th quarter and year 2013","http://bea.gov/newsreleases/international/transactions/2014/trans413.htm","2014-03-19"
"14-08","U.S. International Trade in Goods and Services, January 2014","http://bea.gov/newsreleases/international/trade/2014/trad0114.htm","2014-03-07"
"14-07","Personal Income and Outlays, January 2014","http://bea.gov/newsreleases/national/pi/2014/pi0114.htm","2014-03-03"
"14-06","Gross Domestic Product, 4th quarter and annual 2013 (second estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp4q13_2nd.htm","2014-02-28"
"14-05","U.S. International Trade in Goods and Services, December 2013","http://bea.gov/newsreleases/international/trade/2014/trad1213.htm","2014-02-06"
"14-04","Personal Income and Outlays, December 2013","http://bea.gov/newsreleases/national/pi/2014/pi1213.htm","2014-01-31"
"14-03","Gross Domestic Product, 4th quarter and annual 2013 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2014/gdp4q13_adv.htm","2014-01-30"
"14-02","Comprehensive Revision of the Annual Industry Accounts, 2014","http://bea.gov/newsreleases/industry/gdpindustry/2014/gdpind12_rev.htm","2014-01-23"
"14-01","U.S. International Trade in Goods and Services, November 2013","http://bea.gov/newsreleases/international/trade/2014/trad1113.htm","2014-01-07"
"13-66","U.S. International Investment Position, 3rd quarter 2013","http://bea.gov/newsreleases/international/intinv/2013/intinv313.htm","2013-12-30"
"13-65","Personal Income and Outlays, November 2013","http://bea.gov/newsreleases/national/pi/2013/pi1113.htm","2013-12-23"
"13-64","Gross Domestic Product, 3rd quarter 2013 (third estimate); Corporate Profits, 3rd quarter 2013 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2013/gdp3q13_3rd.htm","2013-12-20"
"13-63","State Quarterly Personal Income, 1st quarter 2013-3rd quarter 2013","http://bea.gov/newsreleases/regional/spi/2013/spi1213.htm","2013-12-19"
"13-62","2007 Benchmark Input-Output Account","http://bea.gov/newsreleases/industry/io/2013/io1213.htm","2013-12-18"
"13-61","Travel and Tourism Satellite Accounts, 3rd quarter 2013","http://bea.gov/newsreleases/industry/tourism/2013/tour313.htm","2013-12-18"
"13-60","U.S. International Transactions, 3rd quarter 2013","http://bea.gov/newsreleases/international/transactions/2013/trans313.htm","2013-12-17"
"13-59","Personal Income and Outlays, October 2013","http://bea.gov/newsreleases/national/pi/2013/pi1013.htm","2013-12-06"
"13-57","Gross Domestic Product, 3rd quarter 2013 (second estimate); Corporate Profits, 3rd quarter 2013 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2013/gdp3q13_2nd.htm","2013-12-05"
"13-56","Gross Domestic Product for Guam, 2011-2012","http://bea.gov/newsreleases/general/terr/2013/guamgdp_120413.pdf","2013-12-04"
"13-55","U.S. International Trade in Goods and Services, October 2013","http://bea.gov/newsreleases/international/trade/2013/trad1013.htm","2013-12-04"
"13-54","Gross Domestic Product for the Commonwealth of the Northern Mariana Islands (CNMI), 2011-2012","http://bea.gov/newsreleases/general/terr/2013/cnmi_111813.pdf","2013-12-01"
"13-53","Local Area Personal Income, 2001-2012 (benchmark estimate)","http://bea.gov/newsreleases/regional/lapi/2013/lapi1113.htm","2013-11-21"
"13-52","U.S. International Trade in Goods and Services, September 2013","http://bea.gov/newsreleases/international/trade/2013/trad0913.htm","2013-11-14"
"13-51","Personal Income and Outlays, September 2013","http://bea.gov/newsreleases/national/pi/2013/pi0913.htm","2013-11-08"
"13-50","Gross Domestic Product, 3rd quarter 2013 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2013/gdp3q13_adv.htm","2013-11-07"
"13-49","U.S. International Trade in Goods and Services, August 2013","http://bea.gov/newsreleases/international/trade/2013/trad0813.htm","2013-10-24"
"13-48","State Quarterly Personal Income, 1st quarter 2001-2nd quarter 2013; State Annual Personal Income, 2001-2012 (benchmark estimate)","http://bea.gov/newsreleases/regional/spi/2013/spi0913.htm","2013-09-30"
"13-47","Personal Income and Outlays, August 2013","http://bea.gov/newsreleases/national/pi/2013/pi0813.htm","2013-09-27"
"13-46","Gross Domestic Product, 2nd quarter 2013 (third estimate); Corporate Profits, 2nd quarter 2013 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2013/gdp2q13_3rd.htm","2013-09-26"
